date,instrument,bbsb_bench_zb,bbsb_bench_gc,bbsb_bench_dxy,bbsb_rel_zb,bbsb_rel_gc,bbsb_rel_dxy,bbsb_selfz,bbsb_verdict_gate,bbsb_verdict_bench,bbsb_verdict_rel,bbsb_tb_bench,bbsb_tb_rel,bbsb_flip,cot_comm_net,cot_index,cot_noncomm_net,cot_specs_net,cot_verdict,w_bias,macro_status,gated,bbsbcot_comm_net,bbsbcot_noncomm_net,bbsbcot_specs_net,bbsbcot_comm_idx,bbsbcot_noncomm_idx,bbsbcot_nonrep_idx,bbsbcot_verdict,bbsbcot_dir,bbsbcot_ready,bbsbcot_agrees
2026-08-16,NAS100,,,,,,,,,,,,,,17475,100.0,-39302,21827,"BULL-lean (carve-out: NonComm idx 0.00, no flip)",RANGING,D:WEAK|S:SKIP,1,17475,-39302,21827,100.0,0.0,100.0,1,1,1,1
2026-08-16,US500,,,,,,,,,,,,,,-142440,0.0,11280,131160,FULL BEAR,BULLISH,D:SKIP|S:NO ZONE,1,-142440,11280,131160,0.0,100.0,96.3,-2,-1,1,1
2026-08-16,GER40,,,,,,,,,,,,,,,,,,UNAVAILABLE (Eurex),BULLISH,D:WEAK (ungated)|S:NO ZONE,0,,,,,,,,,,
2026-08-17,EURUSD,,,,,,,,,,,,,,29203,91.94,-60010,30807,PARTIAL BULL,RANGING,D:WEAK|S:SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-17,GBPUSD,,,,,,,,,,,,,,58887,24.75,-56221,-2666,NEUTRAL,BULLISH,D:WEAK,0,58887,-56221,-2666,24.7537,78.1774,68.9707,0,0,1,1
2026-08-17,AUDUSD,,,,,,,,,,,,,,14861,93.62,-39223,24362,PARTIAL BULL,BULLISH,S:SKIP,1,14861,-39223,24362,93.61576,0.58993,72.33237,1,1,1,1
2026-08-17,USDJPY,,,,,,,,,,,,,,48769,37.28,-42085,-6684,NEUTRAL (inverted pair),RANGING,S:WEAK,0,48769,-42085,-6684,37.27877,68.79235,0.0,0,0,1,1
2026-08-17,GBPJPY,,,,,,,,,,,,,,58887,24.75,-56221,-2666,NEUTRAL (legA GBP; legB JPY comm 48769 idx 37.28),RANGING,S:WEAK,0,58887,-56221,-2666,24.7537,78.1774,68.9707,0,0,1,1
2026-08-17,EURGBP,,,,,,,,,,,,,,29203,91.94,-60010,30807,PARTIAL BULL (legA EUR; legB GBP comm 58887 idx 24.75),BEARISH,D:WEAK|S:SKIP,1,29203,-60010,30807,91.94283,5.03671,30.66205,1,1,1,1
2026-08-17,XAUUSD,,,,,,,,,,,,,,-252640,0.0,217940,34700,FULL BEAR,BULLISH,D:SKIP|S:WEAK,1,-252640,217940,34700,0.0,100.0,60.5,-2,-1,1,1
2026-08-17,US30,,,,,,,,,,,,,,-100,34.92,-3271,3371,NEUTRAL,BULLISH,D:WEAK,0,-100,-3271,3371,35.0,71.0,71.0,0,0,1,1
2026-08-17,NAS100,,,,,,,,,,,,,,-34387,74.0,21134,13253,CARVE-OUT BULL (NonComm idx 13.56 <20 + flip to long),BULLISH,D:WEAK|S:SKIP,1,-34387,21134,13253,74.0,13.56,61.48,1,1,1,1
2026-08-17,US500,,,,,,,,,,,,,,34871,24.3,-166019,131148,NEUTRAL,BULLISH,D:WEAK,0,34871,-166019,131148,24.3,42.71,100.0,0,0,1,1
2026-08-17,GER40,,,,,,,,,,,,,,,,,,UNAVAILABLE (Eurex),BULLISH,D:WEAK,0,,,,,,,,,,
