id,symbol,side,open_dt,close_dt,entry,exit,qty,fee,swap,pnl,status,tq
467914918734372,XAUUSD,SELL,2026-06-27 00:36,2026-06-27 00:51,4087.80,4084.20,0.23,-1.88,0.00,80.92,WIN,80
467914918731647,XAUUSD,SELL,2026-06-27 00:22,2026-06-27 00:31,4086.16,4092.58,0.17,-1.39,0.00,-110.53,LOSS,21
467914918666240,XAUUSD,SELL,2026-06-26 19:43,2026-06-26 20:36,4046.39,4044.82,0.21,-1.70,0.00,31.27,WIN,58
467914918640959,AUDUSD,BUY,2026-06-26 16:30,2026-06-26 17:58,0.68985,0.69017,0.81,-3.24,0.00,22.68,WIN,
467914918579889,AUDUSD,BUY,2026-06-26 10:03,2026-06-26 12:04,0.68912,0.68934,2.53,-10.12,0.00,45.54,WIN,
466480835804412,AUDUSD,BUY,2026-06-24 19:01,2026-06-26 09:35,0.68902,0.68918,3.13,-12.52,-61.34,-23.78,LOSS,
466480835708150,AUDUSD,BUY,2026-06-24 09:03,2026-06-24 18:01,0.69138,0.68880,0.35,-1.40,0.00,-91.70,LOSS,
466480835757613,AUDCHF,BUY,2026-06-24 14:24,2026-06-24 18:01,0.56090,0.55935,1.24,-4.96,0.00,-241.63,LOSS,
466480835706487,NZDCHF,BUY,2026-06-24 08:54,2026-06-24 11:14,0.45906,0.45834,2.27,-9.08,0.00,-210.66,LOSS,
464456765267401,DAX40,SELL,2026-06-22 16:46,2026-06-23 21:57,24967.95,24940.43,0.72,0.00,-4.94,17.62,WIN,59
464456765495117,NAS100,BUY,2026-06-23 18:27,2026-06-23 18:47,29507.32,29480.27,0.62,0.00,0.00,-16.77,LOSS,23
464456765473287,GBPAUD,SELL,2026-06-23 16:17,2026-06-23 16:24,1.90350,1.90419,0.47,-1.88,0.00,-24.40,LOSS,
464456765437422,GBPAUD,SELL,2026-06-23 12:58,2026-06-23 16:03,1.89993,1.90430,0.47,-1.88,0.00,-144.63,LOSS,
464456765284346,NAS100,SELL,2026-06-22 19:05,2026-06-23 11:56,30505.61,30072.30,1.27,0.00,-4.37,545.93,WIN,89
464456765412673,NZDCHF,BUY,2026-06-23 09:40,2026-06-23 11:12,0.46144,0.46065,2.6,-10.40,0.00,-264.24,LOSS,
464456765259000,NZDUSD,BUY,2026-06-22 15:30,2026-06-22 16:08,0.57239,0.57188,0.54,-2.16,0.00,-29.70,LOSS,
